comment,label
جنس خوبی داره من برا تهویه اتاق‌خواب گرفتم راضی‌ام,2
خوبه و کار راه اندازه ولی برای پایه هاش چه خوب می‌شد اگر کفشک درست می‌کرد سازنده.,1
کاش بزرگتر بود یا چرخش داشت,2
دوساله دارمش وخداروشکر مشکلی نداشته وازش راضیم,2
دمنده خوبی هست و پرتاب باد خوبی داره,2
فعلا که خوبه. کاش تولید کننده یه دسته هم براش میذاشت.,2
پنکه خوبیه و شتاب بادش هم خوبه فقط عیبش صدای زیادشه‌ی جوری سایلنت ترش میکردن بهتر بود,1
عالی از همه نظر,2
برای یک اتاق کوچک,2
توی گرما امسال به نظرم این خیلی کمک می‌کند,2
خیلی خیلی دوست دارم,2
خیلی هوادهی ضعیفی داره اصلا مناسب نیست,0
بسیار محصول خوبی هست من برای بار دوم خرید کردم,2
نسبت به ساختش عملکردش قابل قبوله,2
خرید خوبی بود,2
میزان بادش نسب به قیمتش بد نیست. بدرد فضای بزرگ نمیخوره و برای فاصله نزدیک خوبه. درجه بندبش از زیاد به کم شروع میشه,2
روی میز کارم گذاشتم خیلی خوبه,2
تا اینجای که خوب کار کرده,2
پنکه رو میزی واقعا خوب و کار راه‌انداز هستش نکات مثبتش بی‌صدا بودن و پرش باد مناسب.,2
برای اتاق دخترم گرفتم وراضیه ازش,2
عالی. بسیار خنک. پیشنهاد می‌کنم,2
سبک قابل‌حمل نسبتا کم صدا پرتاب باد خوبر,2
خیلی خوب و عالی هست,2
برای روی میز این ابعاد عالی هست. سه سرعتس کار راه‌انداز می‌باشد.,2
درکل خیلی عالیه فقط کاش قابلیت شارژ داشت زمانیکه برق می‌رفت قابل‌استفاده بود,2
بسیار بصرفه وکاربردی است وخیلی عالی کار می‌کند,2
موقع خرید به ابعاد فن توجه کنید. فقط در یک درجه فشار باد قابل توجهی داره. ولی کم جا، شیک و کار راه بندازه.,2
ایکاش یه پایه کوتاهی براش طراحی بشه که قدرت چرخش پره به محاسن این پنکه اضافه بشه,2
من برای روی میزم گرفتم، جای کمی رو اشغال می‌کنه و پرتاب بادش خوبه. درکل راضیم,2
کیفیت خوب، اندازه و قیمت مناسب و تحویل سریع …,2
این به اصطلاح پنکه رو خریدم برا مغازه فقط یکش باد خوبی می‌زد درجه‌ی دو میچرخونی حتی یه نسیمم نمیزنه رو شماره سه میچرخونی خاموش میشه صدا میده، سیمش کوتاه بود یک مترم نیس، موقع تحویل تو کارتن مخصوص دیجیکالا نبود دور کارتن خودش سلفون کشیدن در کارتن پنکه باز بود یه کیسه وکیومم نداشت انگار جنس دس دو فروختن مرجوع کردم صبر کردم یکی دیگه بیارن دوباره همون خراب اولیو سلفون پیچ فرستادن برام که بازم مجبور به مرجوع مجدد شدم دلخورم که چرا دیجیکالا چک نمیکنه کالاسالمه یا نه,0
من از خریدم راضی هستم,2
بسیار عالی قدرت پرتاب باد زیاد بنظرم توی هر خونه‌ای لازمه,2
در کل خوبه,2
خیلی خیلی خوب و عالی هست,2
بسیار کاربردی با کیفیت مناسب,2
دومین باره می‌خرم عالی,2
باد خوبی میده,2
کارش خوبه اما مثل‌ی اسباب‌بازی میمونه,2
دیروز بدستم رسید انتظار نداشتم به این زودی برسد درضمن در مورد گارانتی اگه مشکلی پیدا کرد به کی مراجعه باید کرد,2
سلام کلا اهل نظر دادن نیستم زیاد ولی گفتم برا این یه مورد باید نظرمو بذارم، تو این هفت هشت سالی که از دیجیکالا خرید کردم، ارسالی به این بدی ندیده بودم، اصلا با کارت خود کالا فرستاده بودن و کارتن دیجیکالا نداشت رو هم نداشت، جعبه خودش هم کلا انگار له‌شده بود، بعد که کالا رو دیدم یه جور خط و خش و سیاهی روی کابل دیدم که یه حسی رو بهم داد که انگار قبلا کسی استفاده کرده، خود کالا عیب و نقص خاصی نداره فقط امیدوارم سالم به دستتون برسونم,2
برای روی میز خیلی مناسب و کاردبردیه، من دو ساله خریدم و راضی هستم,2
سبک و سه سرعت مختلف,2
خیلی خوبه راضیم,2
مناسب برای اتاق و محیط کوچک کم صدا,2
بسیار زیبا و شکیل خیلی سبک سه دور شدت دمش باد داره که بسیار عالیه دمش باد حتی در دور پایین، بسیار عالی دور سه، شدت باد خیلی زیادی تولید میکنه و کاملا میشه در اتاق جایگزین پنکه‌های معمولی بشه طول سیمش خیلی خوبه اصلا لرزش و صدا نداره,2
قیمت خوب کارایی عالی,2
عالی و کاربردی,2
بسیار خوب است,2
پنکه خوشگل و خوبیه باد خونکی داره واقعا عالیه,2
خنک نمی‌کنه نمی‌دونم چرا از بادش سردرد می‌گیرم,1
شدت باد خوبی دارد و خنک می‌کند فقط اینکه ثابت هست و چرخشی نیست,2
از ارسال سریع و سر وقت و کم‌هزینه دیجی کالا سپاسگزارم خدمات‌دهی بسیار عالی است,1
بادش خود است مشمل این است چرخشی نیست ثابت است,1
از ۲۴ ساعت ۲۲ ساعت روشنه خیلی راضیم.,2
برای یه اتاق کوچیک ۴ متری هم حتی جواب نمیده. البته برای شهرهای شمالی یا شمال غربی که هوا خیلی گرم نمیشه میتونه خوب باشه. حالا یه خوبی که داره من به مدت طولانی (بیشتر از ۱۲ ساعت) در طول روز روشن میذارمش (رو شدت ۲ و ۳) و هیچیش نشده فعلا. یعنی از لحاظ اینکه سالم باشه و کار کنه اوکیه.,1
جنس بدنه خوبه، زیباست و به درد بخوره ولی دوست داشتم حالت گردش به طرفین هم داشت,2
شرکت دمنده کوچکترین قطعه‌ای را به برای سرویس به شما نمی‌دهد و زمانی که به نمایندگی اصلی در خیابان انقلاب اول مفتح شمالی مراجعه کنید باید کل سیستم را ببرید تحویل دهید و بعد از چند روز با یک فاکتور که سرت سوت می‌کشد روبرو خواهید شد و قطعات تعویضی را پس نمی‌دهد,0
عالیه من دو مدلش رو خریدم. فقط کاش چرخش هم داشت,2
خوبه تازه خریدم واسه رو میز و از نزدیک خوبه,2
من خیلی راضیم روش آب ریخت از ۳ متری افتاد پرتش کردم ولی بهتر از قبل کار میکنه,2
فقط میتونم بگم عالیه,2
کاربردی هستش، صداش در دور تندش زیاده اما آزار دهنده نیست. در کل خوبه,2
برای کار با کامپیوترم گرفتم که هوا تو اتاق جریان داشته باشه، از خریدش پشیمون نمیشید,2
بعد از چند روز انتظار، کالایی که بدستم رسید دارای ایراد ظاهری بود و رنگ بدنه زرد شدگی داره که پاک نمیشه همچنین دکمه‌ی سرعتش هم برعکسه یعنی شماره یک بالاترین سرعت و شماره سه کمترین سرعته,0
برای اونهایی که گرمایی هستن و میخوان موقع کار یا پشت سیستم اذیت نشن، خیلی خوبه. حتی میتونید موقع خواب هم کنارتون بذارید و لذت ببرید:),2
عالی کارو درمیاره برا اتاق,2
از نظر کم جا بودن عالیه. تو دور کمش صدای کمی داره و طبیعتا تو دورای بالاتر کمی صداش بیشتر میشه ولی اصلا آزار دهنده نیست. شدت باد خوبی‌ام داره برای اتاق تا ۱۲ متری کفایت میکنه. اگر مدت زمان بالایی یه جا نشسته باشید این پنکه تا حد زیادی از شر گرما خلاصتون میکنه. طرح و ساختشم خوبه و اصلا ایجاد منظره زشتی نمیکنه و بدنه سفید و طوسی تمیز کار شده‌ای داره. فقط اگر فکری براش میکردن که پایه هاش بالا و پایین شه و بشه براش زاویه ایجاد کرد خیلی عالی ترم می‌شد. کارت گارانتی ۱۸ ماهه هم همراه …,2
ممنون از دیجی کالا،,2
خیلی خوب بود,2
من راضی بودم واقعا از گرما نجاتم داد فقط تنها مشکل اینه که هم کوچیکه هم کامل ثابت واینمیسه یکم به عقب متمایله,2
عالی و بیصدا,2
از خریدتان پشیمان نخواهید شد. بشتابید!,2
واقعا بادش خیلی خوبه به درد یک اتاق کوچک یا محل کار روی میز واقعا بدرد بخوره بازم بستگی داره برای چی تهیه می‌کنید,2
خوبه. فقط کار فن رو انجام میده. صداش زیاد نیست. بادش هم معمولی,2
خوبه عالیه دست‌خوش از زحمتتان,2
در کل خرید مناسبی است برای قرار گرفتن روی پیشخوان‌ها، مغازه‌های کوچک و یا روی میز، کابینت و … بعنوان یک پنکه ساده و نسبتا زیبا و سبک، صرف‌نظر از دور کند، بخاطر صدای کم و زیبایی نسبی خرید خوبی به نظر می‌رسد.,2
نمیدونم چرا بعضیا اینقدر نکات الکی مثل لرزش گفتن، درحالیکه اصلا لرزش نداشت,2
دقیقا همون چیزی هست که ازش می‌خواستم,2
عالی بود بدون صدای اضافه فقط صدای فن که اونم طبیعیه,2
دومین باره این پنکه رو می‌خرم. برای یه اتاق کوچیک کاملا مناسبه,2
از جهت واریز مشکل هست خرید‌های دیگر انجام نشد اگر میشه با شناسه از طریق خود پرداز هم خرید کنیم تشکر,2
واقعا عالیه درحد پنکه ۲ تومنی پرتاب باد داره,2
ازهمه لحاظ خوبه. فقط اگر دسته‌ای داشته باشد حمل آن آسانتره.. و راحت‌تر وایمن ترر. جابجا می‌شود.,2
اگه واسه دفتر کار یا همچین چیزی میخواینش عالیه به نسبت قیمتش واسه آشپزخونه وفرار از گرما کنار اجاق هم کارآییش خوبه.. سه تا پرجه تنظیم دارهدرجه کمش هم قدرتش خوبه.. کلا راضیم,2
مستقیم به پریز وصل میشه خوبه,2
خوب و کاربردی,2
خیلی خوبه باد خیلی خوبه میزنه,2
برای محل کار ما که کولر نمی‌ذارن روشن کنیم به خاطر مصرف برق واقعا خوبه و آدمو از گرما زدگی نجات میده تو همین هفته سه تا از همکارا از همین مدل خرید داشتن,2
همانطور که در بخش نکات منفی نوشتم پیچ تنظیم باد باید از کم به زیاد باشد. یعنی دستگاه خاموش را در مرحله اول وارد دور ضعیف، بعد متوسط و نهایتا زیاد باشد ولی این مدل برعکس هست، خاموش-زیاد-متوسط-کم هست، تعجب می‌کنم چرا شرکت سازنده توجه نکرده است.,2
بدنه ضعیفی داره ولی خب اندازه پولشه دیگه,2
با تشکر از سازنده محترم بسیار عالی هست راضی‌ام,2
خوبه برای اداره گرفتم,2
جنس خوب و قیمت مناسب,2
جنس خوب و قیمت مناسب,2
سلام می‌خواستم پنکه رومیزی خیلی خوب عالی,2
فعلا عالی است.,2
درجه سوم (دور کند) دستگاه از زمان باز کردن و شروع به کار کردن خراب بود و حتا با وجود ارائه به نمایندگی و ارسال به شرکت تعمیر نگردید و با همان دو حالت کار می‌کند.,1
از پنکه راضی هستم,2
واقعا عالیه …,2
من حدود یکساله خریدم و تا الان راضی هستم,2
نسبت به قیمت جنس خوبیه. من یک هفته است دارم استفاده می‌کنم و از آن راضی هستم,2
بیصداس واسه اتاق‌خواب گرفتم بادش خوبه درجه‌ها بر عکسه تازه استفاده کردم به مرور معلوم میشه به صدا میوفته یا خیر,2
قبلا داشتم. از محصولات شرکت دمنده راضیم,2
نسبت قیمت عالی,2
کار راه اندازه ولی فکر نکنم برای طولانی مدت جواب بده,2
اگر می‌خواهید پولتونو دور بریزید بخرید صدای زیاد باد ضعیف قدرت کم پایه هاش لاستیک لرزش گیر نداره و میز رو خش میندازه روی شیشه لرزش داره کلیدش بی‌کیفیت و فکر نکن زیاد کار کنه من با ترس و لرز روشن خاموشش می‌کنم کلیدش از زیاد به کم شروع میشه یعنی روشن که می‌کنی پرتاب باد آخر هستش البته اونم ضعیفه نیاز به کم کردن نیست خودشون هم میدونستن این کارو کردن خدایی باد بزن دستی شرف داره به این,0
بد نیست ولی قدرت و کارایی پنکه رو نداره برای روزای گرم یکم گردش هوا در اطراف ایجاد میکنه,1
برای روی میز محل کار نه‌تنها خوب هست بلکه زیادی هم هست، روی میز من از کمترین شدت بادش استفاده می‌کنم، قطعا برای فضای مثل اتاق به هیچ وجه مناسب نیست چون کوچک هست و ثابت و کاربری تک نفره، برای اتاق پنکه بزرگ چرخون بخرید، با وجود این با توجه به قیمتش گزینه خوبی برای کار و استفاده یک نفره هست,1
خنک می‌کنه کیفیت عالی,2
عالی و کارآمد,2
خیلی عالیه و بادهی عالیی داره,2
بار دومه که می‌خرم. من راضی بودم دست سازنده ش درد نکنه. البته می‌توانستند زاویه پرتاب باد رو متحرک کنند یا مثلا مهپاش روش تعبیه کنند. هزینه زیادی نداشت براشون. اون تنظیم باد از تند به کند برای من خوب بود و مزاحمتی ایجاد نمی‌کنه. و در جواب به نقدهای منفی، لازم نیست حتما جلو پنکه بخوابید تا استخوناتون خشک بشه، همین که هوای اتاق - مثل اتاق‌خواب - رو به جریان می‌اندازه، هوا رو مطبوع میکنه مثل کاری که پنکه سقفی می‌کنه.,2
بیشتر اینجا تعریف و تمجید بیشتر از روی هیجان داده‌شده! ارگونومی پنکه اصلا درست و اصولی طراحی نشده، با وجود فن کوچک و کلا کامپکت بودنش صدای فنش شبیه جت جنگنده هست (مخصوصا دور تند) هوا دهی خوبه اما چون ارگونومی درستی نداره و پایش ثابت هست به هیچ دردی نمیخوره نه روی میز نه زمین، چون رو میز بزاری استخونات خشک میشه! رو زمینم بذاری نمیتونی رو خودت برای فاصله زیاد براحتی تنظیم کنی! متریال بکار رفته خوبه اما خیلی جا برای بهتر شدن داره (حتی برای این قیمت)، تولید کننده یه چند تومن خ …,0
کوچیه اما خوبه,2
خدا خیرش بده هرکی اینو ساخته اگه این پنکه رومیزی نبود من امسال تو محل کارم کباب می‌شدم واقعا عالیه یک سره کار میکنه بادشم خوبه خنکه تقریبا پرتاب بادشم عالیه. فقط اگه دیدین بعد از یک ربع بیست دقیقه خاموش میشه خود به خود پشتش و چک کنین فضای خالی کافی داشته باشه اگه چسبیده باشه به دیوار کشش نداره و خاموش میکنه اون و اوکی کنید مشکلی نیست.,2
برای فضای کوچیک مناسبه، شدت باد خوبی داره و صدای کم. راضی‌ام از خریدش.,2
نسبت به بیرون خیلی قیمت بهتره,2
برای جاهای کوچیک مثل محل کار عالیه,2
طراوت و شادابی همراه با خنکای خوب و دلچسب,2
